Term_PK	Term_Name	Identifier	Is_Leaf	Definition	Comment	Parent_term_type	Parent_term_name	Parent_term_ID	GrandParent_term_type	GrandParent_term_name	GrandParent_term_ID
"MS:1001708MS1"	"ProteomeDiscoverer:SEQUEST:Std Medium Confidence XCorr Charge1"	"MS:1001708"	"1"	"Standard medium confidence XCorr parameter for charge = 1."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001709MS1"	"ProteomeDiscoverer:SEQUEST:Std Medium Confidence XCorr Charge2"	"MS:1001709"	"1"	"Standard medium confidence XCorr parameter for charge = 2."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001710MS1"	"ProteomeDiscoverer:SEQUEST:Std Medium Confidence XCorr Charge3"	"MS:1001710"	"1"	"Standard medium confidence XCorr parameter for charge = 3."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001711MS1"	"ProteomeDiscoverer:SEQUEST:Std Medium Confidence XCorr Charge4"	"MS:1001711"	"1"	"Standard medium confidence XCorr parameter for charge >= 4."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001712MS1"	"ProteomeDiscoverer:SEQUEST:FT High Confidence XCorr Charge1"	"MS:1001712"	"1"	"FT high confidence XCorr parameter for charge = 1."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001713MS1"	"ProteomeDiscoverer:SEQUEST:FT High Confidence XCorr Charge2"	"MS:1001713"	"1"	"FT high confidence XCorr parameter for charge = 2."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001714MS1"	"ProteomeDiscoverer:SEQUEST:FT High Confidence XCorr Charge3"	"MS:1001714"	"1"	"FT high confidence XCorr parameter for charge = 3."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001715MS1"	"ProteomeDiscoverer:SEQUEST:FT High Confidence XCorr Charge4"	"MS:1001715"	"1"	"FT high confidence XCorr parameter for charge >= 4."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001716MS1"	"ProteomeDiscoverer:SEQUEST:FT Medium Confidence XCorr Charge1"	"MS:1001716"	"1"	"FT medium confidence XCorr parameter for charge = 1."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001717MS1"	"ProteomeDiscoverer:SEQUEST:FT Medium Confidence XCorr Charge2"	"MS:1001717"	"1"	"FT medium confidence XCorr parameter for charge = 2."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001718MS1"	"ProteomeDiscoverer:SEQUEST:FT Medium Confidence XCorr Charge3"	"MS:1001718"	"1"	"FT medium confidence XCorr parameter for charge = 3."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001719MS1"	"ProteomeDiscoverer:SEQUEST:FT Medium Confidence XCorr Charge4"	"MS:1001719"	"1"	"FT medium confidence XCorr parameter for charge >= 4."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001720MS1"	"ProteomeDiscoverer:1. Dynamic Modification"	"MS:1001720"	"1"	"OBSOLETE ProteomeDiscoverer's 1st dynamic post-translational modification (PTM) input parameter."	"This term was made obsolete because it's recommended to use ProteomeDiscoverer:Dynamic Modification (MS:1001644) instead."	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001721MS1"	"ProteomeDiscoverer:2. Dynamic Modification"	"MS:1001721"	"1"	"OBSOLETE ProteomeDiscoverer's 2nd dynamic post-translational modification (PTM) input parameter."	"This term was made obsolete because it's recommended to use ProteomeDiscoverer:Dynamic Modification (MS:1001644) instead."	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001722MS1"	"ProteomeDiscoverer:3. Dynamic Modification"	"MS:1001722"	"1"	"OBSOLETE ProteomeDiscoverer's 3rd dynamic post-translational modification (PTM) input parameter."	"This term was made obsolete because it's recommended to use ProteomeDiscoverer:Dynamic Modification (MS:1001644) instead."	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001723MS1"	"ProteomeDiscoverer:4. Dynamic Modification"	"MS:1001723"	"1"	"OBSOLETE ProteomeDiscoverer's 4th dynamic post-translational modification (PTM) input parameter."	"This term was made obsolete because it's recommended to use ProteomeDiscoverer:Dynamic Modification (MS:1001644) instead."	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001724MS1"	"ProteomeDiscoverer:Static Modification for X"	"MS:1001724"	"1"	"Static Modification for X."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001725MS1"	"ProteomeDiscoverer:Initial minimal peptide probability"	"MS:1001725"	"1"	"Minimal initial peptide probability to contribute to analysis."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001726MS1"	"ProteomeDiscoverer:Minimal peptide probability"	"MS:1001726"	"1"	"Minimum adjusted peptide probability contributing to protein probability."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001727MS1"	"ProteomeDiscoverer:Minimal peptide weight"	"MS:1001727"	"1"	"Minimum peptide weight contributing to protein probability."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001728MS1"	"ProteomeDiscoverer:Number of input1 spectra"	"MS:1001728"	"1"	"Number of spectra from 1+ precursor ions."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001729MS1"	"ProteomeDiscoverer:Number of input2 spectra"	"MS:1001729"	"1"	"Number of spectra from 2+ precursor ions."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001730MS1"	"ProteomeDiscoverer:Number of input3 spectra"	"MS:1001730"	"1"	"Number of spectra from 3+ precursor ions."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001731MS1"	"ProteomeDiscoverer:Number of input4 spectra"	"MS:1001731"	"1"	"Number of spectra from 4+ precursor ions."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001732MS1"	"ProteomeDiscoverer:Number of input5 spectra"	"MS:1001732"	"1"	"Number of spectra from 5+ precursor ions."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001733MS1"	"ProteomeDiscoverer:Number of predicted correct proteins"	"MS:1001733"	"1"	"Total number of predicted correct protein ids (sum of probabilities)."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001734MS1"	"ProteomeDiscoverer:Organism"	"MS:1001734"	"1"	"OBSOLETE Sample organism (used for annotation purposes)."	"This term was made obsolete because it's recommended to use taxonomy: scientific name (MS:1001469) instead."	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001735MS1"	"ProteomeDiscoverer:Reference Database"	"MS:1001735"	"1"	"OBSOLETE Full path database name."	"This term was made obsolete. Use attribute in mzIdentML / mzQuantML instead."	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001736MS1"	"ProteomeDiscoverer:Residue substitution list"	"MS:1001736"	"1"	"Residues considered equivalent when comparing peptides."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001737MS1"	"ProteomeDiscoverer:Source file extension"	"MS:1001737"	"1"	"OBSOLETE File type (if not pepXML)."	"This term was made obsolete because it's recommended to use mass spectrometer file format (MS:1000560) instead."	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001738MS1"	"ProteomeDiscoverer:Source Files"	"MS:1001738"	"1"	"OBSOLETE Input pepXML files."	"This term was made obsolete because it's recommended to use pepXML file (MS:1001421) instead."	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001739MS1"	"ProteomeDiscoverer:Source Files old"	"MS:1001739"	"1"	"OBSOLETE Input pepXML files (old)."	"This term was made obsolete because it's recommended to use pepXML file (MS:1001421) instead."	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001740MS1"	"ProteomeDiscoverer:WinCyg reference database"	"MS:1001740"	"1"	"Windows full path for database."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001741MS1"	"ProteomeDiscoverer:WinCyg source files"	"MS:1001741"	"1"	"Windows pepXML file names."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001742MS1"	"LTQ Orbitrap Velos"	"MS:1001742"	"1"	"Finnigan LTQ Orbitrap Velos MS."	\N	"IsA"	"Thermo Scientific instrument model"	"MS:1000494"	"IsA"	"Thermo Fisher Scientific instrument model"	"MS:1000483"
"MS:1001743MS1"	"ProteomeDiscoverer:Mascot:Weight of A Ions"	"MS:1001743"	"1"	"Determines if to use A ions for spectrum matching."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001744MS1"	"ProteomeDiscoverer:Mascot:Weight of B Ions"	"MS:1001744"	"1"	"Determines if to use B ions for spectrum matching."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001745MS1"	"ProteomeDiscoverer:Mascot:Weight of C Ions"	"MS:1001745"	"1"	"Determines if to use C ions for spectrum matching."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001746MS1"	"ProteomeDiscoverer:Mascot:Weight of D Ions"	"MS:1001746"	"1"	"Determines if to use D ions for spectrum matching."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001747MS1"	"ProteomeDiscoverer:Mascot:Weight of V Ions"	"MS:1001747"	"1"	"Determines if to use V ions for spectrum matching."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001748MS1"	"ProteomeDiscoverer:Mascot:Weight of W Ions"	"MS:1001748"	"1"	"Determines if to use W ions for spectrum matching."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001749MS1"	"ProteomeDiscoverer:Mascot:Weight of X Ions"	"MS:1001749"	"1"	"Determines if to use X ions for spectrum matching."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001750MS1"	"ProteomeDiscoverer:Mascot:Weight of Y Ions"	"MS:1001750"	"1"	"Determines if to use Y ions for spectrum matching."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001751MS1"	"ProteomeDiscoverer:Mascot:Weight of Z Ions"	"MS:1001751"	"1"	"Determines if to use z ions for spectrum matching."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001752MS1"	"ProteomeDiscoverer:Spectrum Selector:Use New Precursor Reevaluation"	"MS:1001752"	"1"	"Determines if to use precursor reevaluation."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001753MS1"	"ProteomeDiscoverer:Spectrum Selector:SN Threshold FTonly"	"MS:1001753"	"1"	"Signal-to-Noise ratio below which peaks are removed (in FT mode only)."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001754MS1"	"ProteomeDiscoverer:Mascot:Please Do not Touch this"	"MS:1001754"	"1"	"Unknown Mascot parameter which ProteomeDiscoverer uses for mascot searches."	\N	"IsA"	"ProteomeDiscoverer input parameter"	"MS:1002101"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001755MS1"	"contact phone number"	"MS:1001755"	"1"	"Phone number of the contact person or organization."	\N	"IsA"	"contact attribute"	"MS:1000585"	"IsA"	"object attribute"	"MS:1000547"
"MS:1001755MS1"	"contact phone number"	"MS:1001755"	"1"	"Phone number of the contact person or organization."	\N	"IsA"	"contact attribute"	"MS:1000585"	"PartOf"	"Proteomics Standards Initiative Mass Spectrometry Vocabularies"	"MS:0000000"
"MS:1001756MS1"	"contact fax number"	"MS:1001756"	"1"	"Fax number for the contact person or organization."	\N	"IsA"	"contact attribute"	"MS:1000585"	"IsA"	"object attribute"	"MS:1000547"
"MS:1001756MS1"	"contact fax number"	"MS:1001756"	"1"	"Fax number for the contact person or organization."	\N	"IsA"	"contact attribute"	"MS:1000585"	"PartOf"	"Proteomics Standards Initiative Mass Spectrometry Vocabularies"	"MS:0000000"
"MS:1001757MS1"	"contact toll-free phone number"	"MS:1001757"	"1"	"Toll-free phone number of the contact person or organization."	\N	"IsA"	"contact attribute"	"MS:1000585"	"IsA"	"object attribute"	"MS:1000547"
"MS:1001757MS1"	"contact toll-free phone number"	"MS:1001757"	"1"	"Toll-free phone number of the contact person or organization."	\N	"IsA"	"contact attribute"	"MS:1000585"	"PartOf"	"Proteomics Standards Initiative Mass Spectrometry Vocabularies"	"MS:0000000"
"MS:1001758MS1"	"Mascot:SigThresholdType"	"MS:1001758"	"1"	"Significance threshold type used in Mascot reporting (either 'identity' or 'homology')."	\N	"IsA"	"Mascot input parameter"	"MS:1002095"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001759MS1"	"Mascot:ProteinGrouping"	"MS:1001759"	"1"	"Strategy used by Mascot to group proteins with same peptide matches (one of 'none', 'Occam's razor' or 'family clustering')."	\N	"IsA"	"Mascot input parameter"	"MS:1002095"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001760MS1"	"Percolator:features"	"MS:1001760"	"1"	"List of Percolator features that were used in processing the peptide matches. Typical Percolator features are 'retentionTime', 'dM', 'mScore', 'lgDScore', 'mrCalc', 'charge' and 'dMppm'."	\N	"IsA"	"Percolator input parameter"	"MS:1002107"	"IsA"	"software specific input parameter"	"MS:1002105"
"MS:1001761MS1"	"ACQUITY UPLC"	"MS:1001761"	"1"	"Waters LC-system ACQUITY UPLC."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001762MS1"	"ACQUITY UPLC H-Class"	"MS:1001762"	"1"	"Waters LC-system ACQUITY UPLC H-Class."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001763MS1"	"ACQUITY UPLC H-Class Bio"	"MS:1001763"	"1"	"Waters LC-system ACQUITY UPLC H-Class Bio."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001764MS1"	"ACQUITY UPLC I-Class"	"MS:1001764"	"1"	"Waters LC-system ACQUITY UPLC I-Class."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001765MS1"	"ACQUITY UPLC Systems with 2D Technology"	"MS:1001765"	"1"	"Waters LC-system ACQUITY UPLC Systems with 2D Technology."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001766MS1"	"nanoACQUITY UPLC"	"MS:1001766"	"1"	"Waters LC-system nanoACQUITY UPLC."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001767MS1"	"nanoACQUITY UPLC System with 1D Technology"	"MS:1001767"	"1"	"Waters LC-system nanoACQUITY UPLC System with 1D Technology."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001768MS1"	"nanoACQUITY UPLC with HDX Technology"	"MS:1001768"	"1"	"Waters LC-system nanoACQUITY UPLC with HDX Technology."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001769MS1"	"TRIZAIC UPLC nanoTile"	"MS:1001769"	"1"	"Waters LC-system TRIZAIC UPLC nanoTile."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001770MS1"	"GCT Premier"	"MS:1001770"	"1"	"Waters oa-ToF based GCT Premier."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001771MS1"	"MALDI Synapt G2 HDMS"	"MS:1001771"	"1"	"Waters oa-ToF based MALDI Synapt G2 HDMS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001772MS1"	"MALDI Synapt G2 MS"	"MS:1001772"	"1"	"Waters oa-ToF based MALDI Synapt G2 MS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001773MS1"	"MALDI Synapt G2-S HDMS"	"MS:1001773"	"1"	"Waters oa-ToF based MALDI Synapt G2 MS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001774MS1"	"MALDI Synapt G2-S MS"	"MS:1001774"	"1"	"Waters oa-ToF based MALDI Synapt G2-S MS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001775MS1"	"MALDI Synapt HDMS"	"MS:1001775"	"1"	"Waters oa-ToF based MALDI Synapt HDMS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001776MS1"	"MALDI Synapt MS"	"MS:1001776"	"1"	"Waters oa-ToF based MALDI Synapt MS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001777MS1"	"Synapt G2 HDMS"	"MS:1001777"	"1"	"Waters oa-ToF based Synapt G2 HDMS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001778MS1"	"Synapt G2 MS"	"MS:1001778"	"1"	"Waters oa-ToF based Synapt G2 MS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001779MS1"	"Synapt G2-S HDMS"	"MS:1001779"	"1"	"Waters oa-ToF based Synapt G2-S HDMS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001780MS1"	"Synapt G2-S MS"	"MS:1001780"	"1"	"Waters oa-ToF based Synapt G2-S MS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001781MS1"	"Synapt HDMS"	"MS:1001781"	"1"	"Waters oa-ToF based Synapt HDMS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001782MS1"	"Synapt MS"	"MS:1001782"	"1"	"Waters oa-ToF based Synapt MS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001783MS1"	"Xevo G2 Q-Tof"	"MS:1001783"	"1"	"Waters oa-ToF based Xevo G2 Q-Tof."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001784MS1"	"Xevo G2 Tof"	"MS:1001784"	"1"	"Waters oa-ToF based Xevo G2 Tof."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001785MS1"	"Xevo Q-Tof"	"MS:1001785"	"1"	"Waters oa-ToF based Xevo Q-Tof."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001786MS1"	"3100"	"MS:1001786"	"1"	"Waters quadrupole based 3100."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001787MS1"	"Acquity SQD"	"MS:1001787"	"1"	"Waters quadrupole based Acquity SQD."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001788MS1"	"Acquity TQD"	"MS:1001788"	"1"	"Waters quadrupole based Acquity TQD."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001789MS1"	"Quattro micro GC"	"MS:1001789"	"1"	"Waters (triple) quadrupole based Quattro micro GC."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001790MS1"	"Xevo TQ MS"	"MS:1001790"	"1"	"Waters quadrupole based Xevo TQ MS."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001791MS1"	"Xevo TQD"	"MS:1001791"	"1"	"Waters quadrupole based Xevo TQD."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001792MS1"	"Xevo TQ-S"	"MS:1001792"	"1"	"Waters quadrupole based Xevo TQ-S."	\N	"IsA"	"Waters instrument model"	"MS:1000126"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001793MS1"	"Mascot:PreferredTaxonomy"	"MS:1001793"	"1"	"NCBI TaxID taxonomy ID to prefer when two or more proteins match the same set of peptides or when protein entry in database represents multiple sequences."	\N	"IsA"	"Mascot input parameter"	"MS:1002095"	"IsA"	"search engine specific input parameter"	"MS:1001302"
"MS:1001795MS1"	"Empower"	"MS:1001795"	"1"	"Waters Empower software for liquid chromatography and mass spectrometry acquisition."	\N	"IsA"	"Waters software"	"MS:1000694"	"IsA"	"software"	"MS:1000531"
"MS:1001795MS1"	"Empower"	"MS:1001795"	"1"	"Waters Empower software for liquid chromatography and mass spectrometry acquisition."	\N	"IsA"	"analysis software"	"MS:1001456"	"IsA"	"software"	"MS:1000531"
"MS:1001795MS1"	"Empower"	"MS:1001795"	"1"	"Waters Empower software for liquid chromatography and mass spectrometry acquisition."	\N	"IsA"	"data processing software"	"MS:1001457"	"IsA"	"software"	"MS:1000531"
"MS:1001796MS1"	"UNIFY"	"MS:1001796"	"1"	"Waters UNIFY software for liquid chromatography and mass spectrometry acquisition."	\N	"IsA"	"Waters software"	"MS:1000694"	"IsA"	"software"	"MS:1000531"
"MS:1001796MS1"	"UNIFY"	"MS:1001796"	"1"	"Waters UNIFY software for liquid chromatography and mass spectrometry acquisition."	\N	"IsA"	"analysis software"	"MS:1001456"	"IsA"	"software"	"MS:1000531"
"MS:1001796MS1"	"UNIFY"	"MS:1001796"	"1"	"Waters UNIFY software for liquid chromatography and mass spectrometry acquisition."	\N	"IsA"	"data processing software"	"MS:1001457"	"IsA"	"software"	"MS:1000531"
"MS:1001797MS1"	"travelling wave ion mobility mass spectrometer"	"MS:1001797"	"1"	"OBSOLETE An ion mobility mass spectrometry technique based on the superimposition of travelling voltage waves on a radially-confining RF voltage in a gas-filled, stacked-ring ion guide."	"This child of the former purgatory term ion mobility spectrometry was made obsolete."	\N	\N	\N	\N	\N	\N
"MS:1001798MS1"	"LECO software"	"MS:1001798"	"0"	"LECO software for data acquisition and analysis."	\N	"IsA"	"software"	"MS:1000531"	"PartOf"	"Proteomics Standards Initiative Mass Spectrometry Vocabularies"	"MS:0000000"
"MS:1001799MS1"	"ChromaTOF software"	"MS:1001799"	"1"	"Software for acquisition, processing and analysis of data for LECO instruments."	\N	"IsA"	"acquisition software"	"MS:1001455"	"IsA"	"software"	"MS:1000531"
"MS:1001799MS1"	"ChromaTOF software"	"MS:1001799"	"1"	"Software for acquisition, processing and analysis of data for LECO instruments."	\N	"IsA"	"analysis software"	"MS:1001456"	"IsA"	"software"	"MS:1000531"
"MS:1001799MS1"	"ChromaTOF software"	"MS:1001799"	"1"	"Software for acquisition, processing and analysis of data for LECO instruments."	\N	"IsA"	"data processing software"	"MS:1001457"	"IsA"	"software"	"MS:1000531"
"MS:1001799MS1"	"ChromaTOF software"	"MS:1001799"	"1"	"Software for acquisition, processing and analysis of data for LECO instruments."	\N	"IsA"	"LECO software"	"MS:1001798"	"IsA"	"software"	"MS:1000531"
"MS:1001800MS1"	"LECO instrument model"	"MS:1001800"	"0"	"LECO instrument model."	\N	"IsA"	"instrument model"	"MS:1000031"	"PartOf"	"instrument"	"MS:1000463"
"MS:1001801MS1"	"Pegasus HRT"	"MS:1001801"	"1"	"LECO high resolution time-of-flight GC mass spectrometer."	\N	"IsA"	"LECO instrument model"	"MS:1001800"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001802MS1"	"Citius HRT"	"MS:1001802"	"1"	"LECO high resolution time-of-flight LC mass spectrometer."	\N	"IsA"	"LECO instrument model"	"MS:1001800"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001803MS1"	"Pegasus"	"MS:1001803"	"1"	"LECO GC time-of-flight mass spectrometer."	\N	"IsA"	"LECO instrument model"	"MS:1001800"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001804MS1"	"TruTOF"	"MS:1001804"	"1"	"LECO bench-top GC time-of-flight mass spectrometer."	\N	"IsA"	"LECO instrument model"	"MS:1001800"	"IsA"	"instrument model"	"MS:1000031"
"MS:1001805MS1"	"quantification datatype"	"MS:1001805"	"0"	"The data type of the value reported in a QuantLayer."	\N	"IsA"	"quantification information"	"MS:1001129"	"PartOf"	"spectrum interpretation"	"MS:1001000"
"MS:1001806MS1"	"quantification object attribute"	"MS:1001806"	"0"	"Attributes describing the details of an object relevant for reporting quantification workflows or values."	\N	"IsA"	"quantification information"	"MS:1001129"	"PartOf"	"spectrum interpretation"	"MS:1001000"
